category,case,method,total_seconds,tuning_seconds,total_inner_iterations,subproblems,failed_subproblems,mse_before,mse_after,ncc_before,ncc_after,ssim_after,displacement_rmse,min_jacobian,nonpositive_jacobian_fraction,accepted_steps
histology_ihc,5,predict_every_outer,9.23997980542481,1.6267377212643623,155,15,0,0.0177028305681385,0.0078086950872914,0.8221894185934377,0.9212529602505958,0.4570015231277343,2.684747556075403,0.0501933324914739,0.0,14
histology_ihc,5,predict_per_level,6.6465808898210526,0.3491017837077379,162,15,0,0.0177028305681385,0.0078087241828707,0.8221894185934377,0.9212526652803792,0.456999996657144,2.6847600196534693,0.0501912644817262,0.0,14
retina_cc0,3,fixed_1_1,39.30700056999922,0.0001075975596904,1986,18,0,0.0023812867764191,0.0006993649005995,0.9721329038093994,0.9918014552385728,0.8148594649247956,2.308653051548623,0.6420820797854849,0.0,18
retina_cc0,3,fixed_1_18,8.691153537482023,2.4724751710891724e-05,1204,18,0,0.0023812867764191,0.0006991000545907,0.9721329038093994,0.9918045627136316,0.8148989124907122,2.3084351953110174,0.6421966033353118,0.0,18
retina_cc0,3,manual_global,2.4334281124174595,2.570822834968567e-05,317,18,0,0.0023812867764191,0.0006989219225861,0.9721329038093994,0.9918066523757048,0.8149262114073729,2.308267308903494,0.6422620754687205,0.0,18
retina_cc0,3,residual_balance,7.443429592996836,2.1379441022872925e-05,1111,18,0,0.0023812867764191,0.0006993529256187,0.9721329038093994,0.9918015956736436,0.8148614103088009,2.3086408260446896,0.6420855317600995,0.0,18
retina_cc0,3,adaptive_bb_proxy,3.731512896716594,1.7799437046051025e-05,506,18,0,0.0023812867764191,0.0006988243556256,0.9721329038093994,0.9918077970915792,0.8149408430300357,2.3081854364278445,0.6423071137247938,0.0,18
retina_cc0,3,predict_every_outer,1.639696191996336,0.4023560155183077,165,18,0,0.0023812867764191,0.0006988509897275,0.9721329038093994,0.9918074847764158,0.8149366442098586,2.30821558694792,0.642295109002516,0.0,18
retina_cc0,3,predict_per_level,1.29684804007411,0.0686030350625515,168,18,0,0.0023812867764191,0.0006988460769332,0.9721329038093994,0.9918075423983044,0.8149374217468116,2.308208845358537,0.642297832532457,0.0,18
retina_cc0,4,fixed_1_1,13.076528076082468,2.028048038482666e-05,1965,18,0,0.0028125258226053,0.0007327851301472,0.967113135119188,0.9914190088116728,0.808950155806875,2.8108378673990524,0.6109610135524162,0.0,18
retina_cc0,4,fixed_1_18,8.169515769928694,2.6402994990348816e-05,1190,18,0,0.0028125258226053,0.0007325731379687,0.967113135119188,0.9914214945661884,0.8089796009956889,2.8106151603799536,0.6110486914288262,0.0,18
retina_cc0,4,manual_global,2.229714235290885,1.8792226910591125e-05,317,18,0,0.0028125258226053,0.0007324239019168,0.967113135119188,0.9914232438780982,0.8090009232068112,2.810436712734526,0.611106290330472,0.0,18
retina_cc0,4,residual_balance,7.265702495351434,1.84476375579834e-05,1099,18,0,0.0028125258226053,0.0007327775221885,0.967113135119188,0.9914190979860136,0.8089513095988909,2.810826175773612,0.6109634623949022,0.0,18
retina_cc0,4,adaptive_bb_proxy,3.622655199840665,1.794658601284027e-05,499,18,0,0.0028125258226053,0.000732350419026,0.967113135119188,0.991424105498947,0.8090112041235582,2.810356227245232,0.6111407036799835,0.0,18
retina_cc0,4,predict_every_outer,1.5605538003146648,0.3961124029010534,163,18,0,0.0028125258226053,0.0007323714598024,0.967113135119188,0.9914238591293096,0.8090079746026108,2.810394745349272,0.6111264103564615,0.0,18
retina_cc0,4,predict_per_level,1.2298115976154804,0.0657109785825014,164,18,0,0.0028125258226053,0.0007323719896368,0.967113135119188,0.9914238529023316,0.8090079193216793,2.810394818448146,0.6111268074754427,0.0,18
retina_cc0,5,fixed_1_1,13.410697031766176,2.033822238445282e-05,1991,18,0,0.0032697811757923,0.0008384768668915,0.9617787343963096,0.9901888469699804,0.7871777695947719,3.3105346382658243,0.2824590547507129,0.0,18
retina_cc0,5,fixed_1_18,7.841116342693567,2.00662761926651e-05,1206,18,0,0.0032697811757923,0.0008382598418058,0.9617787343963096,0.9901913925090172,0.7872071483988696,3.310311697776477,0.2826369827253078,0.0,18
retina_cc0,5,manual_global,2.230663327500224,1.833587884902954e-05,322,18,0,0.0032697811757923,0.0008381083304019,0.9617787343963096,0.9901931691354642,0.7872283222989056,3.3101371976056857,0.2827460567414536,0.0,18
retina_cc0,5,residual_balance,7.260161405429244,1.851841807365417e-05,1114,18,0,0.0032697811757923,0.0008384652612681,0.9617787343963096,0.9901889830586692,0.7871794562217461,3.310518721509451,0.2824670349120083,0.0,18
retina_cc0,5,adaptive_bb_proxy,3.4761784188449383,1.7948448657989502e-05,486,18,0,0.0032697811757923,0.0008380367218088,0.9617787343963096,0.9901940091752098,0.7872380580351844,3.310059323849957,0.2828152674559124,0.0,18
retina_cc0,5,predict_every_outer,1.5469669830054045,0.3852242697030306,164,18,0,0.0032697811757923,0.0008380576306618,0.9617787343963096,0.9901937643229636,0.7872349772920023,3.310098960460447,0.2827885235927029,0.0,18
retina_cc0,5,predict_per_level,1.224540689960122,0.0645689237862825,165,18,0,0.0032697811757923,0.0008380587625659,0.9617787343963096,0.9901937510417628,0.787234823756442,3.310099552514884,0.2827885103581776,0.0,18
histology_ihc,3,predict_per_pair,2.7328757774084806,0.0360709782689809,204,18,0,0.01485594701914,0.0052323782046687,0.8513560818686023,0.9473492224814274,0.5930542535293661,1.6698042179373862,0.0516128894220346,0.0,18
histology_ihc,4,predict_per_pair,2.297596575692296,0.0472504273056983,192,16,0,0.0164643418364253,0.0068320967439394,0.8350007182765278,0.931178333626308,0.5080523601438859,2.197064759842821,0.0502535452832748,0.0,15
histology_ihc,5,predict_per_pair,1.8300089929252863,0.0363844614475965,180,15,0,0.0177028305681385,0.0078087629154465,0.8221894185934377,0.9212522714625164,0.4569979852896906,2.684768393493745,0.0501893106828926,0.0,14
retina_cc0,3,predict_per_pair,2.278917971998453,0.0366956256330013,186,18,0,0.0023812867764191,0.0006988600644651,0.9721329038093994,0.9918073782511072,0.8149353478422897,2.308217186577348,0.6422937710558738,0.0,18
retina_cc0,4,predict_per_pair,2.2499724067747597,0.0361003745347261,182,18,0,0.0028125258226053,0.0007323837414593,0.967113135119188,0.9914237149959844,0.8090063206441813,2.8104029071408565,0.6111231944263648,0.0,18
retina_cc0,5,predict_per_pair,2.3151161689311266,0.0356627758592367,182,18,0,0.0032697811757923,0.0008380716009947,0.9617787343963096,0.9901936001975966,0.7872330840101127,3.3101076480540814,0.2827786545293649,0.0,18
histology_ihc,3,predict_pair_full,2.59601011313498,0.04422282613813877,184,18,0,0.014855947019140099,0.0052322839782276125,0.8513560818686023,0.9473501771830989,0.5930600799698552,1.6697826174482122,0.05161616297557986,0.0,18
histology_ihc,4,predict_pair_full,2.099809169769287,0.04357896000146866,167,16,0,0.016464341836425367,0.00683204798694805,0.8350007182765278,0.9311788264341416,0.5080551184190987,2.1970473605162075,0.050255928907620484,0.0,15
histology_ihc,5,predict_pair_full,1.7880551628768444,0.04679514653980732,168,15,0,0.01770283056813858,0.0078086608024658674,0.8221894185934377,0.9212533082223504,0.4570032427269815,2.684735543126581,0.05019666617637525,0.0,14
retina_cc0,3,predict_pair_full,2.2358488645404577,0.04393293149769306,180,18,0,0.002381286776419124,0.0006988302359903102,0.9721329038093994,0.991807728199735,0.8149399656489525,2.308188867856032,0.6423043304269628,0.0,18
retina_cc0,4,predict_pair_full,2.2370451036840677,0.04328589886426926,180,18,0,0.002812525822605312,0.0007323548685283412,0.967113135119188,0.9914240533835897,0.8090105842312327,2.8103595074002814,0.6111386214709286,0.0,18
retina_cc0,5,predict_pair_full,2.2253872975707054,0.04411308839917183,180,18,0,0.003269781175792347,0.0008380413073767593,0.9617787343963096,0.9901939553236363,0.7872374075677111,3.310061944065496,0.2828056116028127,0.0,18
