pair_index,fixed,moving,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,predict_pair_full,2.0339234862476587,0.5256434381008148,2.5595669243484735,0.021634411066770554,126,0,6,9,0.016900358048847708,0.0,17.73861420564515,15.06100454752704,15.133846410827923,27.471531213577975,0.0416005408087414,0.1509480744705517
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,fixed_1_1,2.0759033877402544,3.57730221375823,5.653205601498485,9.508803486824036e-06,1239,0,8,10,0.006511341452084374,0.0,26.68035411229203,22.407214125807123,22.42693241563465,41.429110139186236,0.06189176974944224,0.16016054241634703
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,fixed_1_18,2.0759033877402544,2.1734850872308016,4.249388474971056,9.620562195777893e-06,734,0,8,10,0.006523414238380487,0.0,26.68035411229203,22.40722868582799,22.426849789477423,41.42918270075796,0.06189180996619806,0.1601599966956715
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,manual_external,2.0759033877402544,0.6860457547008991,2.7619491424411535,9.737908840179443e-06,195,0,8,10,0.006532826103784972,0.0,26.68035411229203,22.40722046984674,22.426780394293683,41.429225628861296,0.06189178727254159,0.16016030463690856
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,residual_balance,2.0759033877402544,2.178005976602435,4.2539093643426895,9.642913937568665e-06,736,0,8,10,0.00651187477546078,0.0,26.68035411229203,22.407211638644736,22.42692538035785,41.42911129407043,0.06189176287956181,0.16016063563708827
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,adaptive_bb_proxy,2.0759033877402544,0.9580413792282343,3.0339447669684887,9.082257747650146e-06,285,0,8,10,0.0065392933426696165,0.0,26.68035411229203,22.407224664323806,22.426752834401473,41.42924821273135,0.06189179885825712,0.1601601474247124
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,predict_per_level,2.0759033877402544,0.5714807715266943,2.6473841592669487,0.059436457231640816,137,0,8,10,0.006534615366310392,0.0,26.68035411229203,22.407225033344304,22.426756152770537,41.42924469505332,0.06189179987754187,0.16016013359354297
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,predict_pair_full,2.0759033877402544,0.5630208309739828,2.638924218714237,0.02143479697406292,140,0,8,10,0.006534099947626271,0.0,26.68035411229203,22.40722624174369,22.42676028263979,41.42924308396102,0.06189180321530516,0.16016008830181327
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,fixed_1_1,2.057995928451419,3.862602587789297,5.920598516240716,1.0285526514053345e-05,1361,0,9,11,-0.10019854414501017,3.0517578125e-05,6.26738771172554,5.785107284883766,6.499638962261682,11.979272925859494,0.015979252308722686,0.07695078859402371
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,fixed_1_18,2.057995928451419,2.381390815600753,4.439386744052172,1.0563060641288757e-05,808,0,9,11,-0.10025948007152125,3.0517578125e-05,6.26738771172554,5.784750796049705,6.4993874601095625,11.979162840027744,0.015978267638129005,0.07700766856546604
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,manual_external,2.057995928451419,0.7579258624464273,2.815921790897846,1.0443851351737976e-05,217,0,9,11,-0.1003065133435243,3.0517578125e-05,6.26738771172554,5.784515718676763,6.499209866802313,11.97909185833696,0.015977618322486384,0.07704517659652366
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,residual_balance,2.057995928451419,2.373389845713973,4.431385774165392,1.0369345545768738e-05,810,0,9,11,-0.10020194297410545,3.0517578125e-05,6.26738771172554,5.785087010116382,6.499621602053199,11.979265832251162,0.01597919630706056,0.0769540235570284
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,adaptive_bb_proxy,2.057995928451419,1.0789647996425629,3.1369607280939817,9.702518582344055e-06,328,0,9,11,-0.10034172393728608,3.0517578125e-05,6.26738771172554,5.784371756512844,6.499104236013048,11.979039336092212,0.015977220679430363,0.07706814663931372
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,predict_per_level,2.057995928451419,0.6036836542189121,2.661679582670331,0.058074530214071274,149,0,9,11,-0.1003185165010197,3.0517578125e-05,6.26738771172554,5.784389989502825,6.499117926553097,11.979046684658936,0.015977271041425895,0.07706523745436777
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,predict_pair_full,2.057995928451419,0.6077914852648973,2.6657874137163162,0.021402787417173386,154,0,9,11,-0.1003158919427618,3.0517578125e-05,6.26738771172554,5.784405373082867,6.499130949360352,11.979051898215618,0.015977313532964048,0.07706278291018598
