repetition,category,case,method,total_seconds,tuning_seconds,total_inner_iterations,mse_after
1,retina_cc0,5,predict_pair_full,1.3581172749400139,0.023373045027256012,180,0.0008380413073767593
2,histology_ihc,3,predict_pair_full,1.5779477655887604,0.023277057334780693,184,0.0052322839782276125
2,histology_ihc,3,manual_global,2.816140739247203,2.160109579563141e-05,365,0.005232580163285997
2,histology_ihc,4,manual_global,2.179628597572446,1.936405897140503e-05,324,0.0068323482623073506
2,histology_ihc,4,predict_pair_full,1.2271095216274261,0.021775532513856888,167,0.00683204798694805
2,histology_ihc,5,predict_pair_full,1.831532632932067,0.022475311532616615,168,0.0078086608024658674
2,histology_ihc,5,manual_global,3.185941180214286,3.531016409397125e-05,304,0.007808990138154927
2,retina_cc0,3,predict_pair_full,2.5944168381392956,0.03680565766990185,180,0.0006988302359903102
2,retina_cc0,3,manual_global,3.665033521130681,3.185868263244629e-05,317,0.0006989219225861421
2,retina_cc0,4,manual_global,3.5437616147100925,2.8166919946670532e-05,317,0.0007324239019168637
2,retina_cc0,4,predict_pair_full,2.093651909381151,0.0332330372184515,180,0.0007323548685283412
2,retina_cc0,5,predict_pair_full,2.0559275187551975,0.03264807537198067,180,0.0008380413073767593
2,retina_cc0,5,manual_global,3.5796905644237995,3.018602728843689e-05,322,0.000838108330401972
3,histology_ihc,3,manual_global,4.260397618636489,3.070756793022156e-05,365,0.005232580163285997
3,histology_ihc,3,predict_pair_full,2.412308456376195,0.031915538012981415,184,0.0052322839782276125
3,histology_ihc,4,predict_pair_full,1.9128012228757143,0.0322312880307436,167,0.00683204798694805
3,histology_ihc,4,manual_global,3.294415332376957,2.53971666097641e-05,324,0.0068323482623073506
3,histology_ihc,5,manual_global,2.0009977240115404,1.819990575313568e-05,304,0.007808990138154927
3,histology_ihc,5,predict_pair_full,1.058525612577796,0.021573591977357864,168,0.0078086608024658674
3,retina_cc0,3,manual_global,2.646453546360135,2.1029263734817505e-05,317,0.0006989219225861421
3,retina_cc0,3,predict_pair_full,2.13627877086401,0.02129935845732689,180,0.0006988302359903102
3,retina_cc0,4,predict_pair_full,2.2125251162797213,0.03219074383378029,180,0.0007323548685283412
3,retina_cc0,4,manual_global,3.750947704538703,4.0587037801742554e-05,317,0.0007324239019168637
3,retina_cc0,5,manual_global,3.8938108179718256,2.962537109851837e-05,322,0.000838108330401972
3,retina_cc0,5,predict_pair_full,2.2359627708792686,0.03469077683985233,180,0.0008380413073767593
4,histology_ihc,3,predict_pair_full,2.6208156682550907,0.034367725253105164,184,0.0052322839782276125
4,histology_ihc,3,manual_global,4.612896852195263,3.016553819179535e-05,365,0.005232580163285997
4,histology_ihc,4,manual_global,3.5291065871715546,2.7647241950035095e-05,324,0.0068323482623073506
4,histology_ihc,4,predict_pair_full,2.096644412726164,0.03426657058298588,167,0.00683204798694805
4,histology_ihc,5,predict_pair_full,1.8062766399234533,0.03472461737692356,168,0.0078086608024658674
4,histology_ihc,5,manual_global,2.8665394708514214,2.2737309336662292e-05,304,0.007808990138154927
4,retina_cc0,3,predict_pair_full,2.2527324464172125,0.03471948765218258,180,0.0006988302359903102
4,retina_cc0,3,manual_global,4.034203514456749,3.209710121154785e-05,317,0.0006989219225861421
4,retina_cc0,4,manual_global,3.7347204349935055,2.9945746064186096e-05,317,0.0007324239019168637
