repetition,pair_index,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,min_jacobian,min_interior_jacobian,nonpositive_fraction
0,8,predict_pair_full,0.39721089601516724,1.1528554800897837,1.550066376104951,0.021473823115229607,198,0.06684196841898782,0.06684196841898782,0.0
0,9,predict_pair_full,0.4103212356567383,1.6017876919358969,2.012108927592635,0.021806571632623672,252,0.05139607573361926,0.05139607573361926,0.0
0,9,manual_external,0.4103212356567383,2.160467404872179,2.5707886405289173,1.7875805497169495e-05,389,0.05139854463002802,0.05139854463002802,0.0
1,0,predict_pair_full,0.40575529262423515,0.49233436957001686,0.898089662194252,0.021532945334911346,56,0.9387034881113141,0.9387034881113141,0.0
1,0,manual_external,0.40575529262423515,0.6126763690263033,1.0184316616505384,4.060566425323486e-06,80,0.9387034865478068,0.9387034865478068,0.0
1,1,manual_external,0.39380632527172565,0.6285696532577276,1.0223759785294533,6.312504410743713e-06,145,0.4597006210463353,0.4597006210463353,0.0
1,1,predict_pair_full,0.39380632527172565,0.5012438744306564,0.8950501997023821,0.02300817333161831,98,0.45969825418881016,0.45969825418881016,0.0
1,2,predict_pair_full,0.4102990198880434,1.6763413958251476,2.086640415713191,0.02144373022019863,210,0.05536755735457438,0.05536755735457438,0.0
1,2,manual_external,0.4102990198880434,2.2337524332106113,2.6440514530986547,1.5500932931900024e-05,306,0.05536546950087795,0.05536546950087795,0.0
1,3,manual_external,0.399613818153739,2.1926820129156113,2.5922958310693502,1.7197802662849426e-05,295,0.055928829647312106,0.055928829647312106,0.0
1,3,predict_pair_full,0.399613818153739,1.6747169010341167,2.0743307191878557,0.021948428824543953,210,0.05592757829756728,0.05592757829756728,0.0
1,4,predict_pair_full,0.3868567328900099,2.511911666020751,2.898768398910761,0.022131577134132385,308,0.05564950307165095,0.05564950307165095,0.0
1,4,manual_external,0.3868567328900099,3.310854932293296,3.6977116651833057,2.4262815713882446e-05,441,0.05563528008483665,0.05563528008483665,0.0
1,5,manual_external,0.40091613307595253,2.39401082880795,2.7949269618839025,1.7412006855010986e-05,301,0.05274773753013701,0.05274773753013701,0.0
1,5,predict_pair_full,0.40091613307595253,1.8087640404701233,2.209680173546076,0.022036781534552574,210,0.05278324758612102,0.05278324758612102,0.0
1,6,predict_pair_full,0.39264195039868355,1.7133545242249966,2.10599647462368,0.02177083119750023,253,0.052746145665989286,0.052746145665989286,0.0
1,6,manual_external,0.39264195039868355,2.169106189161539,2.5617481395602226,1.9766390323638916e-05,355,0.0527354187962939,0.0527354187962939,0.0
1,7,manual_external,0.41216593235731125,2.5568563919514418,2.969022324308753,1.8162652850151062e-05,313,0.054043713705439395,0.06298199899993359,0.0
1,7,predict_pair_full,0.41216593235731125,1.938219090923667,2.350385023280978,0.02163226716220379,224,0.05404833807852688,0.06292273041779656,0.0
1,8,predict_pair_full,0.3890428487211466,1.1481781378388405,1.537220986559987,0.021576834842562675,198,0.06684196841898782,0.06684196841898782,0.0
1,8,manual_external,0.3890428487211466,1.4847158044576645,1.873758653178811,1.3388693332672119e-05,269,0.06685350976444876,0.06685350976444876,0.0
1,9,manual_external,0.40408898517489433,2.2043761052191257,2.60846509039402,1.9283965229988098e-05,389,0.05139854463002802,0.05139854463002802,0.0
1,9,predict_pair_full,0.40408898517489433,1.61027648486197,2.0143654700368643,0.021822066977620125,252,0.05139607573361926,0.05139607573361926,0.0
2,0,manual_external,0.4045238997787237,0.6306510362774134,1.035174936056137,9.372830390930176e-06,80,0.9387034865478068,0.9387034865478068,0.0
2,0,predict_pair_full,0.4045238997787237,0.49543652683496475,0.8999604266136885,0.024339929223060608,56,0.9387034881113141,0.9387034881113141,0.0
2,1,predict_pair_full,0.39201326854526997,0.49781294725835323,0.8898262158036232,0.021202297881245613,98,0.45969825418881016,0.45969825418881016,0.0
2,1,manual_external,0.39201326854526997,0.6252811010926962,1.0172943696379662,6.511807441711426e-06,145,0.4597006210463353,0.4597006210463353,0.0
2,2,manual_external,0.3942938204854727,2.178211936727166,2.572505757212639,1.6588717699050903e-05,306,0.05536546950087795,0.05536546950087795,0.0
2,2,predict_pair_full,0.3942938204854727,1.6580801531672478,2.0523739736527205,0.021619204431772232,210,0.05536755735457438,0.05536755735457438,0.0
2,3,predict_pair_full,0.3941970132291317,1.6476972829550505,2.041894296184182,0.022618558257818222,210,0.05592757829756728,0.05592757829756728,0.0
2,3,manual_external,0.3941970132291317,2.121200568974018,2.51539758220315,1.7587095499038696e-05,295,0.055928829647312106,0.055928829647312106,0.0
2,4,manual_external,0.3805679678916931,3.2546335998922586,3.6352015677839518,2.4469569325447083e-05,441,0.05563528008483665,0.05563528008483665,0.0
2,4,predict_pair_full,0.3805679678916931,2.4549159575253725,2.8354839254170656,0.021751439198851585,308,0.05564950307165095,0.05564950307165095,0.0
2,5,predict_pair_full,0.3901204243302345,1.7773627508431673,2.167483175173402,0.021460404619574547,210,0.05278324758612102,0.05278324758612102,0.0
2,5,manual_external,0.3901204243302345,2.340458031743765,2.7305784560739994,1.7758458852767944e-05,301,0.05274773753013701,0.05274773753013701,0.0
2,6,manual_external,0.38661276549100876,2.1017176527529955,2.4883304182440042,1.8458813428878784e-05,355,0.0527354187962939,0.0527354187962939,0.0
2,6,predict_pair_full,0.38661276549100876,1.6125688962638378,1.9991816617548466,0.02131837047636509,253,0.052746145665989286,0.052746145665989286,0.0
2,7,predict_pair_full,0.3805456589907408,1.9034832119941711,2.284028870984912,0.021633226424455643,224,0.05404833807852688,0.06292273041779656,0.0
2,7,manual_external,0.3805456589907408,2.510056445375085,2.8906021043658257,1.8738210201263428e-05,313,0.054043713705439395,0.06298199899993359,0.0
2,8,manual_external,0.3868131395429373,1.4613137990236282,1.8481269385665655,1.459568738937378e-05,269,0.06685350976444876,0.06685350976444876,0.0
2,8,predict_pair_full,0.3868131395429373,1.1291331481188536,1.5159462876617908,0.021386995911598206,198,0.06684196841898782,0.06684196841898782,0.0
2,9,predict_pair_full,0.39385177195072174,1.5762272644788027,1.9700790364295244,0.0212496817111969,252,0.05139607573361926,0.05139607573361926,0.0
2,9,manual_external,0.39385177195072174,2.1435271184891462,2.537378890439868,1.9727274775505066e-05,389,0.05139854463002802,0.05139854463002802,0.0
3,0,predict_pair_full,0.39024695567786694,0.488528523594141,0.8787754792720079,0.021189019083976746,56,0.9387034881113141,0.9387034881113141,0.0
3,0,manual_external,0.39024695567786694,0.5999733805656433,0.9902203362435102,3.8016587495803833e-06,80,0.9387034865478068,0.9387034865478068,0.0
3,1,manual_external,0.39054848812520504,0.6290208771824837,1.0195693653076887,6.716698408126831e-06,145,0.4597006210463353,0.4597006210463353,0.0
3,1,predict_pair_full,0.39054848812520504,0.5009406935423613,0.8914891816675663,0.02150411531329155,98,0.45969825418881016,0.45969825418881016,0.0
3,2,predict_pair_full,0.3932307232171297,1.6556876879185438,2.0489184111356735,0.021566903218626976,210,0.05536755735457438,0.05536755735457438,0.0
3,2,manual_external,0.3932307232171297,2.187506016343832,2.5807367395609617,1.673586666584015e-05,306,0.05536546950087795,0.05536546950087795,0.0
3,3,manual_external,0.3920366745442152,2.165656501427293,2.557693175971508,1.6782432794570923e-05,295,0.055928829647312106,0.055928829647312106,0.0
3,3,predict_pair_full,0.3920366745442152,1.631478387862444,2.023515062406659,0.021544387564063072,210,0.05592757829756728,0.05592757829756728,0.0
3,4,predict_pair_full,0.38468917831778526,2.4729830250144005,2.8576722033321857,0.021282115951180458,308,0.05564950307165095,0.05564950307165095,0.0
3,4,manual_external,0.38468917831778526,3.2676349002867937,3.652324078604579,2.4149194359779358e-05,441,0.05563528008483665,0.05563528008483665,0.0
3,5,manual_external,0.3909148536622524,2.3479792829602957,2.738894136622548,1.722387969493866e-05,301,0.05274773753013701,0.05274773753013701,0.0
3,5,predict_pair_full,0.3909148536622524,1.7815093528479338,2.172424206510186,0.02128113992512226,210,0.05278324758612102,0.05278324758612102,0.0
3,6,predict_pair_full,0.38594166561961174,1.6199456304311752,2.005887296050787,0.021314455196261406,253,0.052746145665989286,0.052746145665989286,0.0
3,6,manual_external,0.38594166561961174,2.1234917268157005,2.5094333924353123,1.821666955947876e-05,355,0.0527354187962939,0.0527354187962939,0.0
3,7,manual_external,0.3828667439520359,2.5047933980822563,2.887660142034292,1.866184175014496e-05,313,0.054043713705439395,0.06298199899993359,0.0
3,7,predict_pair_full,0.3828667439520359,1.9171387869864702,2.300005530938506,0.021330805495381355,224,0.05404833807852688,0.06292273041779656,0.0
3,8,predict_pair_full,0.38450166024267673,1.136474447324872,1.5209761075675488,0.021492743864655495,198,0.06684196841898782,0.06684196841898782,0.0
3,8,manual_external,0.38450166024267673,1.4690339230000973,1.853535583242774,1.4659017324447632e-05,269,0.06685350976444876,0.06685350976444876,0.0
3,9,manual_external,0.3889459948986769,2.161208912730217,2.550154907628894,1.8833205103874207e-05,389,0.05139854463002802,0.05139854463002802,0.0
3,9,predict_pair_full,0.3889459948986769,1.5734857842326164,1.9624317791312933,0.021319692954421043,252,0.05139607573361926,0.05139607573361926,0.0
4,0,manual_external,0.39151828922331333,0.6055232360959053,0.9970415253192186,3.898516297340393e-06,80,0.9387034865478068,0.9387034865478068,0.0
4,0,predict_pair_full,0.39151828922331333,0.4820473678410053,0.8735656570643187,0.021368183195590973,56,0.9387034881113141,0.9387034881113141,0.0
4,1,predict_pair_full,0.395058685913682,0.49345079995691776,0.8885094858705997,0.021599633619189262,98,0.45969825418881016,0.45969825418881016,0.0
4,1,manual_external,0.395058685913682,0.6247072108089924,1.0197658967226744,6.491318345069885e-06,145,0.4597006210463353,0.4597006210463353,0.0
4,2,manual_external,0.3933453746140003,2.1708119865506887,2.564157361164689,1.6205012798309326e-05,306,0.05536546950087795,0.05536546950087795,0.0
4,2,predict_pair_full,0.3933453746140003,1.666492311283946,2.0598376858979464,0.02146092802286148,210,0.05536755735457438,0.05536755735457438,0.0
4,3,predict_pair_full,0.3983381353318691,1.6337172724306583,2.0320554077625275,0.021310564130544662,210,0.05592757829756728,0.05592757829756728,0.0
4,3,manual_external,0.3983381353318691,2.1338510308414698,2.532189166173339,1.6799196600914e-05,295,0.055928829647312106,0.055928829647312106,0.0
4,4,manual_external,0.3816853705793619,3.2950536590069532,3.676739029586315,2.567097544670105e-05,441,0.05563528008483665,0.05563528008483665,0.0
4,4,predict_pair_full,0.3816853705793619,2.4574464466422796,2.8391318172216415,0.02130473405122757,308,0.05564950307165095,0.05564950307165095,0.0
4,5,predict_pair_full,0.3900077063590288,1.7791343070566654,2.1691420134156942,0.02114919200539589,210,0.05278324758612102,0.05278324758612102,0.0
4,5,manual_external,0.3900077063590288,2.3690563570708036,2.7590640634298325,1.6491860151290894e-05,301,0.05274773753013701,0.05274773753013701,0.0
4,6,manual_external,0.3890093918889761,2.105016715824604,2.49402610771358,1.9371509552001953e-05,355,0.0527354187962939,0.0527354187962939,0.0
4,6,predict_pair_full,0.3890093918889761,1.6159754563122988,2.004984848201275,0.021304136142134666,253,0.052746145665989286,0.052746145665989286,0.0
4,7,predict_pair_full,0.3816367592662573,1.9182095434516668,2.299846302717924,0.02126294933259487,224,0.05404833807852688,0.06292273041779656,0.0
4,7,manual_external,0.3816367592662573,2.4906705245375633,2.8723072838038206,1.8754974007606506e-05,313,0.054043713705439395,0.06298199899993359,0.0
4,8,manual_external,0.38070871867239475,1.4652383867651224,1.8459471054375172,1.4370307326316833e-05,269,0.06685350976444876,0.06685350976444876,0.0
4,8,predict_pair_full,0.38070871867239475,1.1348143238574266,1.5155230425298214,0.02315407432615757,198,0.06684196841898782,0.06684196841898782,0.0
4,9,predict_pair_full,0.3892668318003416,1.5770906768739223,1.966357508674264,0.02125915139913559,252,0.05139607573361926,0.05139607573361926,0.0
4,9,manual_external,0.3892668318003416,2.141238471493125,2.5305053032934666,1.901388168334961e-05,389,0.05139854463002802,0.05139854463002802,0.0
