regime,level,smooth,method,rho,alpha,bound,actual_radius,oracle_radius,envelope_gap,parameter_gap,normalized_commutator,certificate_valid,certified,collapsed
orientation,0.05,True,local_predictor,0.1567035812339974,1.746496784734887,0.22604339562549902,0.22704726490822474,0.22584088212421496,-0.004421411035854136,0.005341737831799009,0.012420996315938966,False,False,False
orientation,0.05,True,pixel_curvature_predictor,0.15671255064420267,1.7458731159795278,0.22661851953000756,0.22661851953000792,0.22584088212421496,-1.5922021013617874e-15,0.0034432977699991596,0.012420996315938966,False,False,False
orientation,0.05,True,predict_then_certify,0.15671255064420267,1.7458731159795278,0.5764185699690112,0.22661851953000792,0.22584088212421496,1.5435633908670212,0.0034432977699991596,0.012420996315938966,True,True,False
orientation,0.05,True,predict_angular_certify,0.15671255064420267,1.7458731159795278,0.6050937502961579,0.22661851953000792,0.22584088212421496,1.6700984171597406,0.0034432977699991596,0.012420996315938966,True,True,False
orientation,0.05,True,block_resolvent,0.1567035812339974,1.746496784734887,0.2514645173103785,0.22704726490822474,0.22584088212421496,0.1075425965251046,0.005341737831799009,0.012420996315938966,True,True,False
orientation,0.05,True,block_gershgorin,0.10000000000000009,2.0,0.5069124423963132,0.30414746543778753,0.22584088212421496,0.6666666666666686,0.3467334283192495,0.012420996315938966,True,True,False
orientation,0.05,True,commutator_rectangle,0.10000000000000009,2.0,0.5068741378829068,0.30414746543778753,0.22584088212421496,0.6665407260695598,0.3467334283192495,0.012420996315938966,True,True,False
orientation,0.05,True,comparison_rectangle,0.10000000000000009,2.0,0.5066920901460148,0.30414746543778753,0.22584088212421496,0.6659421751770513,0.3467334283192495,0.012420996315938966,True,True,False
orientation,0.2,True,local_predictor,0.15654307211670482,1.7556675350096094,0.21753914746395675,0.2333204568456846,0.22056655839927533,-0.0676379156593432,0.05782335517663479,0.048989962615498574,False,False,False
orientation,0.2,True,pixel_curvature_predictor,0.15671255064420267,1.7458731159795278,0.22661851953000756,0.22661851953000747,0.22056655839927533,3.6743125416041323e-16,0.02743825344446244,0.048989962615498574,False,False,False
orientation,0.2,True,predict_then_certify,0.15671255064420267,1.7458731159795278,0.5730408097023416,0.22661851953000747,0.22056655839927533,1.5286583412988142,0.02743825344446244,0.048989962615498574,True,True,False
orientation,0.2,True,predict_angular_certify,0.15671255064420267,1.7458731159795278,0.6016624262121988,0.22661851953000747,0.22056655839927533,1.6549570064265213,0.02743825344446244,0.048989962615498574,True,True,False
orientation,0.2,True,block_resolvent,0.15654307211670482,1.7556675350096094,0.3230053126180934,0.2333204568456846,0.22056655839927533,0.3843848798552856,0.05782335517663479,0.048989962615498574,True,True,False
orientation,0.2,True,block_gershgorin,0.10000000000000009,2.0,0.5069124423963132,0.30414746543778787,0.22056655839927533,0.6666666666666669,0.3789373495469436,0.048989962615498574,True,True,False
orientation,0.2,True,commutator_rectangle,0.10000000000000009,2.0,0.5062566714308615,0.30414746543778787,0.22056655839927533,0.6645105712196515,0.3789373495469436,0.048989962615498574,True,True,False
orientation,0.2,True,comparison_rectangle,0.10000000000000009,2.0,0.5034060996550169,0.30414746543778787,0.22056655839927533,0.6551382367445262,0.3789373495469436,0.048989962615498574,True,True,False
orientation,0.6,True,local_predictor,0.15344100475521008,1.8230895239894986,0.15299480001681753,0.2771658490622826,0.2084496415554173,-0.4480027011464976,0.3296537571094685,0.13032540684270022,False,False,False
orientation,0.6,True,pixel_curvature_predictor,0.15671255064420267,1.7458731159795278,0.22661851953000756,0.22661851953000764,0.2084496415554173,-3.6743125416041293e-16,0.0871619535491505,0.13032540684270022,False,False,False
orientation,0.6,True,predict_then_certify,0.15671255064420267,1.7458731159795278,0.5455433745722772,0.22661851953000764,0.2084496415554173,1.4073203536220222,0.0871619535491505,0.13032540684270022,True,True,False
orientation,0.6,True,predict_angular_certify,0.15671255064420267,1.7458731159795278,0.5669408255935071,0.22661851953000764,0.2084496415554173,1.5017409290701669,0.0871619535491505,0.13032540684270022,True,True,False
orientation,0.6,True,block_resolvent,0.15344100475521008,1.8230895239894986,0.4657103649735391,0.2771658490622826,0.2084496415554173,0.6802588289616022,0.3296537571094685,0.13032540684270022,True,True,False
orientation,0.6,True,block_gershgorin,0.10000000000000009,2.0,0.5069124423963133,0.3041474654377875,0.2084496415554173,0.6666666666666693,0.4590932522996375,0.13032540684270022,True,True,False
