n,contrast,frequency,trial,method,rho,alpha,bound,actual_radius,oracle_radius,relative_radius_gap,envelope_gap,selection_seconds,certificate_valid,collapsed
4,16.0,0,0,block_gershgorin,1.2881663255933,1.9969579138249,0.8010479909678146,0.7918151700902554,0.5352488496185467,0.4793402557605768,0.011660323300583987,0.7105560824275017,True,False
4,16.0,0,0,commutator_rectangle,1.2881663255933,1.9969579138249,0.845490733143744,0.7918151700902554,0.5352488496185467,0.4793402557605768,0.0677879953314994,0.028399672359228134,True,False
4,16.0,0,0,comparison_rectangle,1.2881663255933,2.0,0.8161032894921655,0.7914980296094533,0.5352488496185467,0.4787477454151027,0.031086950266765837,0.02915089949965477,True,False
4,16.0,1,0,local_predictor,3.7547328465999,1.5983056816774,0.08745223778703481,0.8289489733263998,0.2117061031833401,2.91556483663827,-0.8945022666038089,0.005325427278876305,False,False
4,16.0,1,0,block_resolvent,8.3670477945083,2.0,0.9904843196889486,0.8984698054090565,0.2117061031833401,3.243948530057117,0.10241247254603014,0.5489145573228598,True,False
4,16.0,1,0,block_gershgorin,0.9106564777945,1.9962354149261,0.7639333650205837,0.2630922630034733,0.2117061031833401,0.24272403604553705,1.9036709643205978,0.5816889312118292,True,False
4,16.0,1,0,commutator_rectangle,0.9106564777945,1.8910833543607,0.8274004056922513,0.30190901097437317,0.2117061031833401,0.4260760858316694,1.7405621416264492,0.02850191667675972,True,False
4,16.0,1,0,comparison_rectangle,0.9106564777945,2.0,0.6744590615756388,0.26170257126331176,0.2117061031833401,0.2361597862706589,1.577196923667336,0.029733842238783836,True,False
4,16.0,3,0,local_predictor,3.7289503947626,1.594567733242,0.09135744998535733,0.8299853381857165,0.2118622852042934,2.9175700261393045,-0.8899288387611067,0.0055001843720674515,False,False
4,16.0,3,0,block_resolvent,8.1794535568236,1.9825179265826,0.9998727167671091,0.8982522176861608,0.2118622852042934,3.239792924068572,0.11313136453224247,0.449457835406065,True,False
4,16.0,3,0,block_gershgorin,0.9044033147232,1.9963707690045,0.763109961360643,0.25911198770857335,0.2118622852042934,0.22302082911414967,1.9450970914511403,0.5323105752468109,True,False
4,16.0,3,0,commutator_rectangle,0.9044033147232,1.8828905358511,0.8272971906100537,0.30122648150939935,0.2118622852042934,0.42180323042836215,1.7464291534548866,0.028823774307966232,True,False
4,16.0,3,0,comparison_rectangle,0.9044033147232,2.0,0.6745615341714118,0.2577651167865241,0.2118622852042934,0.21666353470117514,1.6169620722189118,0.06090082414448261,True,False
5,1.0,0,0,local_predictor,0.1576549831574,1.7346241051762,0.23311781245973984,0.2337632574699196,0.2564840582837075,-0.08858562581170445,-0.0027611054755378884,0.02907743491232395,False,False
